sample,signal_type,horizon_sessions,dimension,bucket,n,benchmark_n,tickers,raw_match_rate,raw_match_ci_low,raw_match_ci_high,net_match_rate_10bps,mean_directional_return,median_directional_return,mean_directional_excess,median_directional_excess,mean_excess_ci_low,mean_excess_ci_high
all_events,smart_consensus,5,agreement,split,471,446,45,0.46496815286624205,0.42038821207614535,0.5101149283395217,0.4607218683651805,-0.0028982889513937977,-0.005334841310062233,-0.002730432841309974,-0.006020573998617718,-0.012038767601181308,0.008333698538036184
all_events,smart_consensus,5,agreement,unanimous,474,469,96,0.43248945147679324,0.38860783561139234,0.4774565673204577,0.43248945147679324,-0.015953953191732984,-0.016304495047860967,-0.015526138069349575,-0.014130464894273609,-0.027793448572961992,-0.003753885779413955
all_events,smart_consensus,5,period,first_half_through_2026-01-26,166,166,31,0.5,0.4248023896888422,0.5751976103111578,0.4939759036144578,-0.0036983815117981288,-3.708971044003029e-05,-0.004508553173729813,-0.0009188086410476526,-0.016276435235938663,0.006062067514020719
all_events,smart_consensus,5,period,second_half_after_2026-01-26,779,749,99,0.43774069319640563,0.40329158341231003,0.4728008470359441,0.43645699614890887,-0.010671805620063446,-0.013161611026379805,-0.010348614118705008,-0.012119774005267536,-0.019505911530009586,-0.0014681056746810078
all_events,smart_consensus,5,consensus_overlap,standalone,945,915,104,0.4486772486772487,0.41723760260384846,0.4805324783032281,0.44656084656084655,-0.009446844348135358,-0.008442404668819847,-0.009289105794261421,-0.009394612537863667,-0.017494292975126734,-0.0015942286648298097
all_events,smart_consensus,20,direction,bear,66,66,19,0.2727272727272727,0.180032031620791,0.3904245444026678,0.2727272727272727,-0.05501256184059854,-0.06713504702455297,-0.014156007763446901,-0.020534043910794886,-0.04086574950084828,0.029942280247057383
all_events,smart_consensus,20,direction,bull,772,747,86,0.4326424870466321,0.39811159302270505,0.46784042604922904,0.42875647668393785,-0.010363199736536908,-0.02097111618139147,-0.020857360481367777,-0.025126876036193124,-0.042583091114581716,-0.0005265752613600035
all_events,smart_consensus,20,source_count,2,192,192,82,0.5,0.42997169712955335,0.5700283028704467,0.5,0.0022855545531572444,-0.00028728322687920915,-0.006384071611017838,-0.005010581007901971,-0.04791392824404474,0.035594907662397465
all_events,smart_consensus,20,source_count,3,138,138,47,0.45652173913043476,0.3757168442459045,0.5396817412184445,0.4492753623188406,0.008181480274292097,-0.018011365879195773,0.003855724525855065,-0.019860303940959334,-0.03767703865058569,0.0463439623418514
all_events,smart_consensus,20,source_count,4,119,118,28,0.42016806722689076,0.3353426705820332,0.5099865989813721,0.42016806722689076,-0.0025555871692162758,-0.01530030926157011,-0.011030156462737565,-0.01866216291591849,-0.06323850495871064,0.054593598730700035
