asof_day,source,segment_type,segment_key,population,ranked_rows
2025-08-20,x,narrative,software,1,1
2025-08-21,x,horizon,180D,7,7
2025-08-21,x,horizon,1D,44,44
2025-08-21,x,horizon,20D,17,17
2025-08-21,x,horizon,5D,34,34
2025-08-21,x,horizon,60D,6,6
2025-08-21,x,horizon,90D,7,7
2025-08-21,x,investor_type,flow_momentum,12,12
2025-08-21,x,investor_type,fundamental,9,9
2025-08-21,x,investor_type,technical,13,13
2025-08-21,x,narrative,ai_infra,1,1
2025-08-21,x,narrative,consumer,1,1
2025-08-21,x,narrative,crypto,3,3
2025-08-21,x,narrative,ev,3,3
2025-08-21,x,narrative,semis,4,4
2025-08-21,x,narrative,software,1,1
2025-08-22,x,horizon,180D,7,7
2025-08-22,x,horizon,1D,44,44
2025-08-22,x,horizon,20D,17,17
2025-08-22,x,horizon,5D,34,34
2025-08-22,x,horizon,60D,6,6
2025-08-22,x,horizon,90D,7,7
2025-08-22,x,investor_type,flow_momentum,11,11
2025-08-22,x,investor_type,fundamental,9,9
2025-08-22,x,investor_type,technical,13,13
2025-08-22,x,narrative,ai_infra,2,2
2025-08-22,x,narrative,consumer,1,1
2025-08-22,x,narrative,crypto,3,3
2025-08-22,x,narrative,ev,3,3
2025-08-22,x,narrative,semis,4,4
2025-08-22,x,narrative,software,1,1
2025-08-23,x,horizon,180D,7,7
2025-08-23,x,horizon,1D,47,47
2025-08-23,x,horizon,20D,18,18
2025-08-23,x,horizon,5D,36,36
2025-08-23,x,horizon,60D,6,6
2025-08-23,x,horizon,90D,7,7
2025-08-23,x,investor_type,flow_momentum,12,12
2025-08-23,x,investor_type,fundamental,10,10
2025-08-23,x,investor_type,technical,13,13
2025-08-23,x,narrative,ai_infra,2,2
2025-08-23,x,narrative,consumer,1,1
2025-08-23,x,narrative,crypto,3,3
2025-08-23,x,narrative,ev,3,3
2025-08-23,x,narrative,semis,4,4
2025-08-23,x,narrative,software,1,1
2025-08-24,x,horizon,180D,7,7
2025-08-24,x,horizon,1D,47,47
2025-08-24,x,horizon,20D,18,18
2025-08-24,x,horizon,5D,36,36
2025-08-24,x,horizon,60D,6,6
2025-08-24,x,horizon,90D,7,7
2025-08-24,x,investor_type,flow_momentum,12,12
2025-08-24,x,investor_type,fundamental,10,10
2025-08-24,x,investor_type,technical,13,13
2025-08-24,x,narrative,ai_infra,2,2
2025-08-24,x,narrative,consumer,1,1
2025-08-24,x,narrative,crypto,3,3
2025-08-24,x,narrative,ev,3,3
2025-08-24,x,narrative,semis,4,4
2025-08-24,x,narrative,software,1,1
2025-08-25,x,horizon,180D,7,7
2025-08-25,x,horizon,1D,47,47
2025-08-25,x,horizon,20D,18,18
2025-08-25,x,horizon,5D,36,36
2025-08-25,x,horizon,60D,6,6
2025-08-25,x,horizon,90D,7,7
2025-08-25,x,investor_type,flow_momentum,12,12
2025-08-25,x,investor_type,fundamental,10,10
2025-08-25,x,investor_type,technical,13,13
2025-08-25,x,narrative,ai_infra,2,2
2025-08-25,x,narrative,consumer,1,1
2025-08-25,x,narrative,crypto,3,3
2025-08-25,x,narrative,ev,3,3
2025-08-25,x,narrative,semis,4,4
2025-08-25,x,narrative,software,1,1
2025-08-26,x,horizon,180D,7,7
2025-08-26,x,horizon,1D,47,47
2025-08-26,x,horizon,20D,19,19
2025-08-26,x,horizon,5D,38,38
2025-08-26,x,horizon,60D,6,6
2025-08-26,x,horizon,90D,7,7
2025-08-26,x,investor_type,flow_momentum,12,12
2025-08-26,x,investor_type,fundamental,11,11
2025-08-26,x,investor_type,technical,13,13
2025-08-26,x,narrative,ai_infra,2,2
2025-08-26,x,narrative,consumer,1,1
2025-08-26,x,narrative,crypto,4,4
2025-08-26,x,narrative,ev,4,4
2025-08-26,x,narrative,semis,4,4
2025-08-26,x,narrative,software,1,1
2025-08-27,x,horizon,180D,7,7
2025-08-27,x,horizon,1D,49,49
2025-08-27,x,horizon,20D,20,20
2025-08-27,x,horizon,5D,38,38
2025-08-27,x,horizon,60D,6,6
2025-08-27,x,horizon,90D,7,7
2025-08-27,x,investor_type,flow_momentum,13,13
2025-08-27,x,investor_type,fundamental,11,11
2025-08-27,x,investor_type,technical,14,14
2025-08-27,x,narrative,ai_infra,2,2
2025-08-27,x,narrative,consumer,1,1
2025-08-27,x,narrative,crypto,4,4
2025-08-27,x,narrative,ev,4,4
2025-08-27,x,narrative,semis,4,4
2025-08-27,x,narrative,software,1,1
2025-08-28,x,horizon,180D,7,7
2025-08-28,x,horizon,1D,50,50
2025-08-28,x,horizon,20D,20,20
2025-08-28,x,horizon,5D,38,38
2025-08-28,x,horizon,60D,6,6
2025-08-28,x,horizon,90D,7,7
2025-08-28,x,investor_type,flow_momentum,13,13
2025-08-28,x,investor_type,fundamental,11,11
2025-08-28,x,investor_type,technical,14,14
2025-08-28,x,narrative,ai_infra,2,2
